Subject,Description,Type,Status,Priority,Assignee,Category,Spec File,Good Examples,Target Files
"[AUTO] Supplier Map - Interactive Store Locator","## Feature Requirements
Show interactive map of nearby raw pet food suppliers. Allow search by location, filter by species served, view supplier details.

## Technical Requirements
- GET /api/suppliers/nearby endpoint (geolocation-based)
- GET /api/suppliers/search endpoint (text search)
- Map integration (Google Maps or Mapbox)
- Supplier markers with popup info
- Distance calculation from user location
- Filter by species (dogs/cats/both)

## Acceptance Criteria
- [ ] Map displays all suppliers in viewport
- [ ] User location shown on map
- [ ] Click marker shows supplier popup
- [ ] Popup shows: name, address, phone, rating
- [ ] Search box filters suppliers
- [ ] Species filter works correctly
- [ ] ""Get Directions"" button works
- [ ] List view shows supplier cards
- [ ] Toggle between map/list view
- [ ] Works on mobile (responsive)

---

SPEC_FILE: /specs/features/supplier-map.yml
GOOD_EXAMPLES: /src/app/map-simple/page.tsx
TARGET_FILES: /src/app/suppliers/page.tsx, /src/app/api/suppliers/nearby/route.ts, /src/app/api/suppliers/search/route.ts",Feature,In Progress,Medium,,Suppliers,/specs/features/supplier-map.yml,/src/app/map-simple/page.tsx,"/src/app/suppliers/page.tsx, /src/app/api/suppliers/nearby/route.ts"

"[AUTO] Breed Guides - Browse and View","## Feature Requirements
Display comprehensive breed guides for dogs and cats. Show breed characteristics, raw feeding recommendations, health considerations.

## Technical Requirements
- GET /api/breeds endpoint
- Breed listing page with search/filter
- Individual breed detail pages
- Show: characteristics, feeding tips, health notes
- Related supplements recommendations

## Acceptance Criteria
- [ ] Breed listing shows all breeds
- [ ] Search by breed name works
- [ ] Filter by species (dog/cat) works
- [ ] Click breed → navigate to detail page
- [ ] Breed detail shows all info
- [ ] Related supplements displayed
- [ ] Responsive layout
- [ ] Loading states shown
- [ ] Back button works correctly

---

SPEC_FILE: /specs/features/breed-guides.yml
GOOD_EXAMPLES: /src/app/supplements/[slug]/page.tsx
TARGET_FILES: /src/app/breed-guides/page.tsx, /src/app/breed-guides/[slug]/page.tsx, /src/app/api/breeds/route.ts",Feature,New,Low,,Education,/specs/features/breed-guides.yml,/src/app/supplements/[slug]/page.tsx,"/src/app/breed-guides/page.tsx, /src/app/breed-guides/[slug]/page.tsx"

"[AUTO] Supplements - Product Catalog","## Feature Requirements
Display supplement products with detailed information, dosage recommendations, species compatibility.

## Technical Requirements
- GET /api/supplements endpoint
- Supplement cards with image, name, price
- Detail page with full description
- Dosage calculator based on pet weight
- Add to cart functionality
- Related products section

## Acceptance Criteria
- [ ] Supplements display in grid layout
- [ ] Click supplement → detail page
- [ ] Detail page shows all info
- [ ] Dosage calculator works correctly
- [ ] ""Add to Cart"" button functional
- [ ] Species compatibility shown
- [ ] Related products displayed
- [ ] Reviews/ratings shown (if available)
- [ ] Mobile responsive

---

SPEC_FILE: /specs/features/supplements-catalog.yml
GOOD_EXAMPLES: /src/app/shop/[id]/page.tsx
TARGET_FILES: /src/app/supplements/page.tsx, /src/app/supplements/[slug]/page.tsx, /src/app/api/supplements/route.ts",Feature,New,Medium,,Shop,/specs/features/supplements-catalog.yml,/src/app/shop/[id]/page.tsx,"/src/app/supplements/page.tsx, /src/app/supplements/[slug]/page.tsx"

"[AUTO] Glossary - Raw Feeding Terms","## Feature Requirements
Searchable glossary of raw feeding terms and definitions. Alphabetical navigation.

## Technical Requirements
- GET /api/glossary endpoint
- Search functionality
- Alphabetical filter (A-Z buttons)
- Term detail modal/page
- Related terms linking

## Acceptance Criteria
- [ ] All terms display alphabetically
- [ ] Search filters terms in real-time
- [ ] A-Z buttons filter by first letter
- [ ] Click term shows definition
- [ ] Related terms are clickable links
- [ ] Loading states shown
- [ ] Mobile responsive
- [ ] ""Clear search"" button works

---

SPEC_FILE: /specs/features/glossary.yml
GOOD_EXAMPLES: /src/app/breed-guides/page.tsx (filtering pattern)
TARGET_FILES: /src/app/glossary/page.tsx, /src/app/api/glossary/route.ts",Feature,New,Low,,Education,/specs/features/glossary.yml,/src/app/breed-guides/page.tsx,"/src/app/glossary/page.tsx, /src/app/api/glossary/route.ts"

"[AUTO] Community - Success Stories","## Feature Requirements
Allow users to submit and browse success stories about their pets' raw feeding journey. Include photos, before/after, testimonials.

## Technical Requirements
- GET /api/success-stories (browse stories)
- POST /api/success-stories (submit story)
- Support photo uploads
- Moderation queue for admin
- Like/comment on stories

## Acceptance Criteria
- [ ] Users can browse success stories
- [ ] Users can submit new stories
- [ ] Photo upload works (multiple photos)
- [ ] Stories show author, date, pet info
- [ ] Users can like stories
- [ ] Users can comment on stories
- [ ] Admin can moderate/approve stories
- [ ] Mobile responsive
- [ ] Social sharing buttons work

---

SPEC_FILE: /specs/features/success-stories.yml
GOOD_EXAMPLES: /src/app/community/recipes/page.tsx
TARGET_FILES: /src/app/success-stories/page.tsx, /src/app/success-stories/submit/page.tsx, /src/app/api/success-stories/route.ts",Feature,New,Medium,,Community,/specs/features/success-stories.yml,/src/app/community/recipes/page.tsx,"/src/app/success-stories/page.tsx, /src/app/success-stories/submit/page.tsx"

"[AUTO] Mentorship - Connect with Experts","## Feature Requirements
Connect users with raw feeding mentors. Book sessions, chat, get personalized advice.

## Technical Requirements
- GET /api/mentorship (list mentors)
- POST /api/mentorship (book session)
- Mentor profiles with: expertise, availability, rating
- Session booking calendar
- Messaging integration

## Acceptance Criteria
- [ ] Browse mentor profiles
- [ ] Filter by expertise/availability
- [ ] Click mentor → view full profile
- [ ] Book session with date/time picker
- [ ] Confirmation email sent
- [ ] View upcoming sessions
- [ ] Message mentor directly
- [ ] Rate mentor after session
- [ ] Payment integration (optional)

---

SPEC_FILE: /specs/features/mentorship.yml
GOOD_EXAMPLES: /src/app/community/page.tsx
TARGET_FILES: /src/app/mentorship/page.tsx, /src/app/mentorship/[mentorId]/page.tsx, /src/app/api/mentorship/route.ts",Feature,New,Low,,Community,/specs/features/mentorship.yml,/src/app/community/page.tsx,"/src/app/mentorship/page.tsx, /src/app/mentorship/[mentorId]/page.tsx"

"[AUTO] Challenges - Feeding Challenges","## Feature Requirements
Gamified feeding challenges to encourage users. Track progress, earn badges, compete on leaderboards.

## Technical Requirements
- GET /api/challenges (list challenges)
- POST /api/challenges (join challenge)
- Track user progress
- Award badges/points
- Leaderboard rankings
- Social sharing

## Acceptance Criteria
- [ ] Users can browse challenges
- [ ] Users can join challenges
- [ ] Progress tracked automatically
- [ ] Badges awarded on completion
- [ ] Leaderboard shows top users
- [ ] Share progress to social media
- [ ] Challenge details show rules
- [ ] Mobile responsive

---

SPEC_FILE: /specs/features/challenges.yml
GOOD_EXAMPLES: /src/app/achievements/page.tsx
TARGET_FILES: /src/app/challenges/page.tsx, /src/app/challenges/leaderboard/page.tsx, /src/app/api/challenges/route.ts",Feature,New,Low,,Gamification,/specs/features/challenges.yml,/src/app/achievements/page.tsx,"/src/app/challenges/page.tsx, /src/app/challenges/leaderboard/page.tsx"

"[AUTO] Messaging - Direct Messages","## Feature Requirements
Allow users to send direct messages to other users (mentors, community members).

## Technical Requirements
- GET /api/messages (fetch conversations)
- POST /api/messages (send message)
- Real-time updates (polling or websockets)
- Unread message counter
- Message notifications

## Acceptance Criteria
- [ ] Users can view message list
- [ ] Click conversation → open chat
- [ ] Users can send messages
- [ ] Messages display in chronological order
- [ ] Unread count shows in sidebar
- [ ] New messages appear in real-time
- [ ] Typing indicator (optional)
- [ ] Mobile responsive
- [ ] Search conversations

---

SPEC_FILE: /specs/features/messaging.yml
GOOD_EXAMPLES: /src/app/ai-assistant/page.tsx (chat UI pattern)
TARGET_FILES: /src/app/messages/page.tsx, /src/app/messages/[userId]/page.tsx, /src/app/api/messages/route.ts",Feature,New,Medium,,Community,/specs/features/messaging.yml,/src/app/ai-assistant/page.tsx,"/src/app/messages/page.tsx, /src/app/messages/[userId]/page.tsx"

"[AUTO] Health Records - Track Pet Health","## Feature Requirements
Allow users to track pet health records: vet visits, vaccinations, weight, medications, symptoms.

## Technical Requirements
- POST /api/health/records (create record)
- GET /api/health/records (list records)
- Support different record types
- Date-based timeline view
- Export health report PDF

## Acceptance Criteria
- [ ] Users can add health records
- [ ] Record types: vet visit, vaccination, weight, medication
- [ ] Timeline view shows all records
- [ ] Filter by record type
- [ ] Filter by date range
- [ ] Export to PDF button works
- [ ] Edit/delete records
- [ ] Attach files/photos to records
- [ ] Mobile responsive

---

SPEC_FILE: /specs/features/health-records.yml
GOOD_EXAMPLES: /src/app/medications/page.tsx
TARGET_FILES: /src/app/health/page.tsx, /src/app/api/health/records/route.ts, /src/app/api/export-health-report/route.ts",Feature,New,Medium,,Health,/specs/features/health-records.yml,/src/app/medications/page.tsx,"/src/app/health/page.tsx, /src/app/api/health/records/route.ts"

"[AUTO] Notifications - User Notifications","## Feature Requirements
Display notifications for user actions: order updates, message receipts, challenge progress, community interactions.

## Technical Requirements
- GET /api/notifications (fetch notifications)
- PATCH /api/notifications/[id]/read (mark as read)
- Notification types: order, message, badge, community
- Unread counter in header
- Notification dropdown in header

## Acceptance Criteria
- [ ] Notification bell shows unread count
- [ ] Click bell → dropdown with notifications
- [ ] Each notification shows: icon, message, time
- [ ] Click notification → navigate to relevant page
- [ ] Click notification → mark as read
- [ ] ""Mark all as read"" button works
- [ ] Real-time updates (polling)
- [ ] Empty state when no notifications
- [ ] Mobile responsive

---

SPEC_FILE: /specs/features/notifications.yml
GOOD_EXAMPLES: /src/components/Header.tsx (notification bell pattern)
TARGET_FILES: /src/components/NotificationDropdown.tsx, /src/app/api/notifications/route.ts, /src/app/api/notifications/[id]/read/route.ts",Feature,New,High,,Core,/specs/features/notifications.yml,/src/components/Header.tsx,"/src/components/NotificationDropdown.tsx, /src/app/api/notifications/route.ts"

"[AUTO] Profile - User Settings","## Feature Requirements
Allow users to update profile information: name, email, password, avatar, notification preferences.

## Technical Requirements
- GET /api/auth/me (fetch user profile)
- PATCH /api/profile (update profile)
- POST /api/profile/avatar (upload avatar)
- PATCH /api/profile/password (change password)
- Email notification preferences

## Acceptance Criteria
- [ ] User can view current profile info
- [ ] User can update name/email
- [ ] User can upload avatar photo
- [ ] User can change password
- [ ] User can toggle notification preferences
- [ ] Form validation works
- [ ] Success toast on save
- [ ] Error handling for duplicate email
- [ ] Avatar preview before upload
- [ ] Mobile responsive

---

SPEC_FILE: /specs/features/profile-settings.yml
GOOD_EXAMPLES: /src/app/pets/page.tsx (form pattern)
TARGET_FILES: /src/app/profile/page.tsx, /src/app/api/auth/me/route.ts",Feature,New,Medium,,User,/specs/features/profile-settings.yml,/src/app/pets/page.tsx,/src/app/profile/page.tsx
